Customer_Name,Scenario,Mother_SKU,Store Concept,Department,Sub Department,Class,Lab Grown,Price Bucket,week_starting_sunday,QUANTITY,NET_SALES_AMOUNT,Unit_Cost,prc_reg_wtd,dod,POS_SALE_AMOUNT,All_Other,Customer_Appreciation_Program,Discount_Other,Employee_Discounts,Exchange_Offer,Gift_with_Purchase,Loose_Diamonds_Discount,Military_Discounts,Online_only_Promo,Outlet_only_Promo,Price_Match,Promo_Bundle,Promo_Events_Clearence,Promo_Events_DOF,Promo_Other,Promo_WOW,GWP_6_Discount_type,GWP_8_Discount_type,prc_prm_wtd,PriceBaseUnits,PromoPrice,XMas,XMasB1,XMasB2,XMasB3,XMasB4,Thanks,ThanksB1,ThanksB2,Columb,Labor,FatherB1,Memo,Mother,MotherB1,EasterB1,Vday,VdayB1,Bluenile_Vol,Jerad_Vol,Bluenile_DoD,Jerad_DoD,Bluenile_Price,Jerad_Price
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,12/27/2020,3,5920.75,1750.98,2274,0.132109352,6822,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1973.583333,7.729295674,7.58760612,,,,,,,,,,,,,,,,,,5,2,0.143999194,0.163815596,3115.38,2819.76
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,01-03-2021,8,11435.01,1031.0429,1538.87,0.071152047,12310.96,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,1429.37625,7.33880366,7.264993439,,,,,,,,,,,,,,,,,,10,9,0.078267252,0.095343743,2046.6971,1308.0395
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,01-10-2021,8,8720.96,823.7316,1211.37,0.100093283,9690.96,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1090.12,7.09950723,6.994043061,,,,,,,,,,,,,,,,,,8,9,0.06005597,0.110102611,1102.3467,932.7549
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,1/17/2021,14,23383.51,923.1430214,1741.779286,0.041066381,24384.91,0,0,1,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,1670.250714,7.462662448,7.420729022,,,,,,,,,,,,,,,,,,11,10,0.032442441,0.045994347,1811.450457,1654.690322
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,1/24/2021,7,12211.96,1035.3568,1848.851429,0.056405676,12941.96,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1744.565714,7.522319876,7.464260929,,,,,,,,,,,,,,,,,,10,10,0.040612087,0.042868314,2033.736572,1497.569657
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,1/31/2021,12,21593.95,1118.0119,1803.245,0.002079122,21638.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1799.495833,7.497343099,7.495261812,,,,,,,,,,,,,,,,,,15,14,0.002307825,0.002183078,1226.2066,1370.4662
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,02-07-2021,11,11691.94,799.5532727,1175.813636,0.096027122,12933.95,0,2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1062.903636,7.069715643,6.968759722,,,,,,,,,,,,,,,,,,16,15,0.115232546,0.072980613,928.8927724,1199.329909
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,2/14/2021,8,6866.58,491.769775,927.8675,0.074951434,7422.94,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,858.3225,6.832888942,6.754979903,,,,,,,,,,,,,,,,,,8,8,0.092190264,0.055464061,1243.34245,1187.6704
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,2/21/2021,4,28213.2,5376.285,7265.25,0.029173119,29061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7053.3,8.890857987,8.861250871,,,,,,,,,,,,,,,,,,6,4,0.037633324,0.024213689,4867.7175,9953.3925
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,2/28/2021,6,5734.56,554.1954667,1288.826667,0.258426269,7732.96,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,955.76,7.161487523,6.862506836,,,,,,,,,,,,,,,,,,4,7,0.330785624,0.155055761,1250.161867,1043.9496
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,03-07-2021,11,18422.32,1145.947636,1762.996364,0.050051153,19392.96,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1674.756364,7.47477012,7.423422979,,,,,,,,,,,,,,,,,,13,10,0.06556701,0.043544503,1904.036073,1269.357382
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,3/14/2021,10,21468.96,944.63424,2146.896,0,21468.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2146.896,7.671778357,7.671778357,,,,,,,,,,,,,,,,,,12,8,0,0,1545.76512,2125.42704
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,3/21/2021,9,13533.97,869.8181,1525.996667,0.014562432,13733.97,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1503.774444,7.330403027,7.315733523,,,,,,,,,,,,,,,,,,11,11,0.014999305,0.020387405,1403.916934,961.3779002
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,3/28/2021,8,11044.98,567.449,1418.6225,0.026786548,11348.98,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1380.6225,7.257441609,7.230289763,,,,,,,,,,,,,,,,,,11,6,0.034822512,0.029197337,1418.6225,1787.46435
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,04-04-2021,15,28934.16,1181.7584,1969.597333,0.020640429,29543.96,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1928.944,7.585584402,7.564727982,,,,,,,,,,,,,,,,,,13,15,0.026419749,0.021053238,1339.326186,1733.245653
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,04-11-2021,6,12360.98,1495.1225,1993.496667,-0.033442076,11960.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060.163333,7.597645495,7.630540547,,,,,,,,,,,,,,,,,,7,7,-0.038792808,-0.025750399,1634.667267,1475.187534
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,4/18/2021,8,8868.44,689.697,1149.495,0.03561564,9195.96,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1108.555,7.047077994,7.010812644,,,,,,,,,,,,,,,,,,8,10,0.033834858,0.024218635,781.6566,1000.06065
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,4/25/2021,7,16801.17,1256.986343,2417.281429,0.007079972,16920.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400.167143,7.790398811,7.783293657,,,,,,,,,,,,,,,,,,5,6,0.007433971,0.008991564,1498.714486,2924.910529
333333_1,B2C,COM1,Mall+Off-Mall,Misc Merchandise,Custom Design,DLG Builder,xxx,High,05-02-2021,16,20238.67,659.7475,1319.495,0.041362889,21111.92,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1264.916875,7.185004367,7.142761688,,,,,,,,,,,,,,,,,,18,14,0.045085549,0.031022167,1847.293,1583.394
